creator,onde estudou,nome da escola,datas em que estudou,fonte_onde_estudou,fonte_nome_escola,fonte_datas_estudo,observacoes_pesquisa,confianca_preenchimento
Daniel Senise,"Rio de Janeiro, RJ",Universidade Federal do Rio de Janeiro; Escola de Artes Visuais do Parque Lage,até 1980; 1981–1983,https://www.danielsenise.com/sobre/daniel-senise/ ; https://www.guiadasartes.com.br/daniel-senise/biografia,https://www.danielsenise.com/sobre/daniel-senise/ ; https://www.guiadasartes.com.br/daniel-senise/biografia,https://www.danielsenise.com/sobre/daniel-senise/,formou-se em engenharia civil na UFRJ e depois cursou formação artística livre no Parque Lage,alta
Iran do Espírito Santo,"São Paulo, Brasil",Fundação Armando Álvares Penteado (FAAP),1986,https://www.escritoriodearte.com/artista/iran-do-espirito-santo,https://www.escritoriodearte.com/artista/iran-do-espirito-santo,https://www.escritoriodearte.com/artista/iran-do-espirito-santo,licenciatura em artes plásticas,alta
Ivonaldo,formação autodidata; São Paulo,,inicia-se na pintura em 1966,https://www.escritoriodearte.com/artista/ivonaldo-veloso-de-melo | https://pt.wikipedia.org/wiki/Ivonaldo_Veloso_de_Melo,,https://www.escritoriodearte.com/artista/ivonaldo-veloso-de-melo,,alta
Marcello Nitsche,"São Paulo, Brasil; São Paulo, Brasil",Escola Profissional Getúlio Vargas; Fundação Armando Álvares Penteado (FAAP),s.d.; 1966–1969,https://www.escritoriodearte.com/artista/marcello-nitsche,https://www.escritoriodearte.com/artista/marcello-nitsche,https://www.escritoriodearte.com/artista/marcello-nitsche,na Getúlio Vargas tem formação preparatória; conclui licenciatura em desenho na FAAP,alta
Mônica Nador,"São Paulo, Brasil; São Paulo, Brasil",Fundação Armando Álvares Penteado (FAAP); Escola de Comunicações e Artes da USP,1983; 1985,https://www.guiadasartes.com.br/monica-nador/obras-e-biografia,https://www.guiadasartes.com.br/monica-nador/obras-e-biografia,https://www.guiadasartes.com.br/monica-nador/obras-e-biografia,na ECA/USP frequenta curso de gravura planográfica com Regina Silveira,alta
Paulo Monteiro,"São Paulo, Brasil",Faculdade de Belas Artes de São Paulo,1980,https://www.guiadasartes.com.br/paulo-bacellar-monteiro,https://www.guiadasartes.com.br/paulo-bacellar-monteiro,https://www.guiadasartes.com.br/paulo-bacellar-monteiro,,alta
Nuno Ramos,"São Paulo, Brasil","Faculdade de Filosofia, Letras e Ciências Humanas da USP",1978–1982,https://pt.wikipedia.org/wiki/Nuno_Ramos,https://pt.wikipedia.org/wiki/Nuno_Ramos,https://pt.wikipedia.org/wiki/Nuno_Ramos,formação em filosofia; passa a integrar a Casa 7 em 1984,alta
Leda Catunda,"São Paulo, Brasil",Fundação Armando Álvares Penteado (FAAP),1980–1984,https://pt.wikipedia.org/wiki/Leda_Catunda,https://pt.wikipedia.org/wiki/Leda_Catunda,https://pt.wikipedia.org/wiki/Leda_Catunda,"teve como mestres Regina Silveira, Julio Plaza, Nelson Leirner e Walter Zanini",alta
León Ferrari,"Buenos Aires, Argentina",Universidad de Buenos Aires,1947,https://cultura.gob.ar/cien-anos-de-leon-ferrari-9425/,https://cultura.gob.ar/cien-anos-de-leon-ferrari-9425/,https://cultura.gob.ar/cien-anos-de-leon-ferrari-9425/,engenheiro de formação; artista autodidata em artes plásticas,alta
Alex Flemming,"São Paulo, Brasil; São Paulo, Brasil; São Paulo, Brasil; Nova Iorque, Estados Unidos","Curso Livre de Cinema da Fundação Armando Álvares Penteado (FAAP); Faculdade de Arquitetura e Urbanismo da USP; estudos de serigrafia e gravura com Regina Silveira, Julio Plaza e Romildo Paiva; Pratt Institute Manhattan",1972–1974; até 1976; 1979–1980; 1981–1983,https://alexflemming.com.br/alexflemming/; https://www.ieb.usp.br/alex-flemming/; https://pt.wikipedia.org/wiki/Alex_Flemming,https://alexflemming.com.br/alexflemming/; https://www.ieb.usp.br/alex-flemming/; https://pt.wikipedia.org/wiki/Alex_Flemming,https://alexflemming.com.br/alexflemming/; https://www.ieb.usp.br/alex-flemming/,"Formação combinou curso livre, passagem universitária e estudos técnicos com artistas-professores.",alta
Luiz Paulo Baravelli,"São Paulo, Brasil",Fundação Armando Alvares Penteado,,MAC_consolidado_normalized.csv / nationality_progress_update.csv,MAC_consolidado_normalized.csv / nationality_progress_update.csv,,dados recuperados de base auxiliar; datas não localizadas,alta
Sergio Niculitcheff,"São Paulo, Brasil; São Paulo, Brasil",Instituto de Artes e Decoração (IADÊ); Ateliê de Gravura da Escola de Comunicações e Artes da USP,1975–1977; 1978,https://enciclopedia.itaucultural.org.br/pessoas/3078-niculitcheff,https://enciclopedia.itaucultural.org.br/pessoas/3078-niculitcheff,https://enciclopedia.itaucultural.org.br/pessoas/3078-niculitcheff,,alta
Antonio Segui,"Madri, Espanha; Paris, França",Real Academia de Bellas Artes de San Fernando; École nationale supérieure des beaux-arts,1951–1954; 1951–1954,https://en.wikipedia.org/wiki/Antonio_Segu%C3%AD,https://en.wikipedia.org/wiki/Antonio_Segu%C3%AD,https://en.wikipedia.org/wiki/Antonio_Segu%C3%AD,A fonte consultada registra o período das passagens por Madri e Paris como estudante visitante.,alta
Giselda Leirner,"São Paulo, Brasil; Nova York, EUA; Nova York, EUA",estudos com Yolanda Mohalyi; Art Students League; Parsons School of Design,1942–1945; 1946; s.d.,https://www.escritoriodearte.com/artista/giselda-leirner,https://www.escritoriodearte.com/artista/giselda-leirner,https://www.escritoriodearte.com/artista/giselda-leirner,combina formação com artistas e cursos em Nova York,alta
Amílcar de Castro,"Belo Horizonte, Brasil; Belo Horizonte, Brasil",Faculdade de Direito da Universidade Federal de Minas Gerais; Escola de Belas Artes de Belo Horizonte,1941–1945; desde 1944,Instituto Amílcar de Castro; Enciclopédia Itaú Cultural,Instituto Amílcar de Castro; Enciclopédia Itaú Cultural,Instituto Amílcar de Castro; Guia das Artes,,alta
Manfredo de Souzanetto,"Belo Horizonte, Brasil; Belo Horizonte, Brasil",Escola Guignard; Universidade Federal de Minas Gerais,1969; 1972–1975,https://www.martir.org/artistas/manfredo-de-souzanetto/ ; https://www.guiadasartes.com.br/manfredo-de-souzanetto/biografia,https://www.martir.org/artistas/manfredo-de-souzanetto/ ; https://www.guiadasartes.com.br/manfredo-de-souzanetto/biografia,https://www.martir.org/artistas/manfredo-de-souzanetto/ ; https://www.guiadasartes.com.br/manfredo-de-souzanetto/biografia,na UFMG estuda arquitetura,alta
Maria Lídia Magliani,"Porto Alegre, Brasil",Federal University of Rio Grande do Sul,,MAC_consolidado_normalized.csv / nationality_applied_dataset.csv,MAC_consolidado_normalized.csv / nationality_applied_dataset.csv,,dados recuperados de base auxiliar; datas não localizadas,alta
Luiz Hermano,"Fortaleza, Brasil; Rio de Janeiro, Brasil",Universidade Estadual do Ceará; Escola de Artes Visuais do Parque Lage,início dos anos 1970; 1979,https://pt.wikipedia.org/wiki/Luiz_Hermano,https://pt.wikipedia.org/wiki/Luiz_Hermano,https://pt.wikipedia.org/wiki/Luiz_Hermano,na universidade estuda filosofia; no Parque Lage frequenta aulas de gravura,media
Anna Barros,"Los Angeles, EUA; São Paulo, Brasil",Otis Art Institute; Escola de Comunicações e Artes da USP,1984; 1990,https://enciclopedia.itaucultural.org.br/pessoas/8485-anna-barros,https://enciclopedia.itaucultural.org.br/pessoas/8485-anna-barros,https://enciclopedia.itaucultural.org.br/pessoas/8485-anna-barros,graduação em artes plásticas e mestrado em artes,alta
Arlindo Daibert,"Juiz de Fora, Brasil; Paris, França",Universidade Federal de Juiz de Fora; Atelier Calevaert-Brun,1973; 1975–1976,https://www.escritoriodearte.com/artista/arlindo-daibert,https://www.escritoriodearte.com/artista/arlindo-daibert,https://www.escritoriodearte.com/artista/arlindo-daibert,formação universitária em letras e aperfeiçoamento em gravura em Paris,alta
Carlos Delfino,"São Paulo, Brasil",ateliê de Carlos Fajardo,1982,https://www.catalogodasartes.com.br/artista/Carlos%20Delfino/,https://www.catalogodasartes.com.br/artista/Carlos%20Delfino/,https://www.catalogodasartes.com.br/artista/Carlos%20Delfino/,estudo em ateliê; escola formal não localizada,media
Paulo Pasta,"São Paulo, Brasil",Fundação Armando Álvares Penteado (FAAP),1977–1982,fontes biográficas de referência,fontes biográficas de referência,fontes biográficas de referência,,alta
Charles Watson,Bath (Inglaterra),Bath Academy of Art / Bath University,1970-1974,https://enciclopedia.itaucultural.org.br/pessoas/2841-charles-watson | https://www.pipaprize.com/pag/charles-watson/,https://enciclopedia.itaucultural.org.br/pessoas/2841-charles-watson | https://www.pipaprize.com/pag/charles-watson/,https://enciclopedia.itaucultural.org.br/pessoas/2841-charles-watson | https://www.pipaprize.com/pag/charles-watson/,,alta
Fabiana de Barros,"São Paulo, Brasil",Fundação Armando Álvares Penteado (FAAP),1983,https://acervo.macrs.rs.gov.br/artistas-macrs/fabiana-de-barros/,https://acervo.macrs.rs.gov.br/artistas-macrs/fabiana-de-barros/,https://acervo.macrs.rs.gov.br/artistas-macrs/fabiana-de-barros/,formação em artes plásticas,alta
Marcia Schvartz,"Buenos Aires, Argentina; Buenos Aires, Argentina","Escuela Nacional de Bellas Artes Manuel Belgrano; ateliês de Ricardo Carreira, Aída Carballo, Luis Falcini e Luis Felipe Noé",1970; 1970s,https://www.marciaschvartz.com/biografia,https://www.marciaschvartz.com/biografia,https://www.marciaschvartz.com/biografia,estudos inconclusos na Manuel Belgrano e formação complementar em ateliês,alta
Marilyn Diggs,,,,,,,biografia localizada; formação não localizada com segurança,
Emília Ceccarelli,,,,,,,biografia localizada; formação não localizada com segurança,
Liz Miller,Providence (EUA); Minnesota (EUA),Rhode Island School of Design; University of Minnesota,,https://hss.mnsu.edu/academic-programs/art/art-faculty-staff/liz-miller/ | https://mccollcenter.org/artists-in-residence/artist/liz-miller,https://hss.mnsu.edu/academic-programs/art/art-faculty-staff/liz-miller/ | https://mccollcenter.org/artists-in-residence/artist/liz-miller,,"As fontes consultadas identificam os graus, mas não detalham os anos de conclusão.",alta
Emi Nakano,,,,,,,possível homônimo; formação não localizada com segurança,
Letícia Burgos,"Mendoza, Argentina; Tempe, EUA",Universidad Nacional de Cuyo; Arizona State University,s.d.; s.d.,https://yicca.org/es/view/info/leticia-burgos,https://yicca.org/es/view/info/leticia-burgos,https://yicca.org/es/view/info/leticia-burgos,"fonte informa licenciatura, professorado em arte e MFA; datas não localizadas",media
Gisela Eichbaum,São Paulo (SP); Nova York (EUA),"estudos com Yolanda Mohalyi, Samson Flexor e Karl Plattner; School of Modern Art, New York",década de 1940,https://enciclopedia.itaucultural.org.br/pessoas/509-gisela-eichbaum | https://pt.wikipedia.org/wiki/Gisela_Eichbaum,https://enciclopedia.itaucultural.org.br/pessoas/509-gisela-eichbaum | https://pt.wikipedia.org/wiki/Gisela_Eichbaum,https://enciclopedia.itaucultural.org.br/pessoas/509-gisela-eichbaum,"A formação aparece em parte por mestres e em parte por escola, sem cronologia completa para Nova York.",media
José Spaniol,"São Paulo, Brasil; Düsseldorf, Alemanha",Fundação Armando Álvares Penteado (FAAP); Academia de Artes de Düsseldorf,1978–1983; 1990–1993,https://enciclopedia.itaucultural.org.br/pessoas/2833-jose-spaniol,https://enciclopedia.itaucultural.org.br/pessoas/2833-jose-spaniol,https://enciclopedia.itaucultural.org.br/pessoas/2833-jose-spaniol,,alta
Macaparana,Formação autodidata,,,https://www.escritoriodearte.com/artista/macaparana | https://arteref.com/arte-do-dia/conheca-o-artista-macaparana-e-a-sua-arte/,,,As fontes qualificam o artista como autodidata; sem instituição formal identificada.,media
Victor Ribeiro,Porto (Portugal),Ar.Co,formação em escultura concluída em 1985,https://www.fundacaoplmj.com/pt/colecao/artistas/vitor-ribeiro/1017/ | https://dev.cps.pt/pt/artistas/vitor-ribeiro,https://www.fundacaoplmj.com/pt/colecao/artistas/vitor-ribeiro/1017/ | https://dev.cps.pt/pt/artistas/vitor-ribeiro,https://www.fundacaoplmj.com/pt/colecao/artistas/vitor-ribeiro/1017/,A base usa Victor Ribeiro; as fontes consultadas usam Vitor Ribeiro.,alta
Henrique Leo Fuhro,Porto Alegre (RS),,1954; final da década de 1950,https://enciclopedia.itaucultural.org.br/pessoas/2904-henrique-leo-fuhro | https://www.escritoriodearte.com/artista/henrique-leo-fuhro,,https://enciclopedia.itaucultural.org.br/pessoas/2904-henrique-leo-fuhro | https://www.escritoriodearte.com/artista/henrique-leo-fuhro,"As fontes indicam aprendizado inicial e prática autodidata, sem instituição formal identificada.",media
Eduardo Eloy,"Rio de Janeiro, Brasil; Rio de Janeiro, Brasil; Rio de Janeiro, Brasil",Escola de Artes Visuais do Parque Lage; Centro Educacional Municipal Calouste Gulbenkian; Museu de Arte Moderna do Rio de Janeiro,1976–1981; 1976–1981; 1976–1981,https://www.cps.pt/pt/artistas/eduardo-eloy ; https://mapacultural.secult.ce.gov.br/agente/36535/,https://www.cps.pt/pt/artistas/eduardo-eloy ; https://mapacultural.secult.ce.gov.br/agente/36535/,https://www.cps.pt/pt/artistas/eduardo-eloy ; https://mapacultural.secult.ce.gov.br/agente/36535/,fontes convergem para formação em gravura e artes visuais no Rio,alta
Amélia Toledo,"São Paulo, Brasil; São Paulo, Brasil; São Paulo, Brasil; Londres, Reino Unido",Ateliê de Anita Malfatti; estudos com Yoshiya Takaoka; estudos com Waldemar da Costa; Central School of Arts and Crafts,c. final dos anos 1930; c. 1940s; c. 1940s; s.d.,https://www.ameliatoledo.com/biografia; https://pt.wikipedia.org/wiki/Amelia_Toledo,https://www.ameliatoledo.com/biografia; https://pt.wikipedia.org/wiki/Amelia_Toledo,https://www.ameliatoledo.com/biografia,Parte da formação ocorreu em ateliês; a data da escola em Londres não apareceu com precisão nas fontes vistas.,media
Ademar Shimabukuro,"Campinas, Brasil",Pontifícia Universidade Católica de Campinas,1991,https://www.escavador.com/sobre/1882197/ademar-kazumi-shimabukuro,https://www.escavador.com/sobre/1882197/ademar-kazumi-shimabukuro,https://www.escavador.com/sobre/1882197/ademar-kazumi-shimabukuro,graduação em arquitetura e urbanismo,media
Fernando Limberger,Porto Alegre; Piracicaba; São Paulo,Universidade Federal do Rio Grande do Sul (UFRGS); especialização em Reabilitação em Paisagens Degradadas na ESALQ; Jardinagem no DEPAVE,Artes Plásticas concluídas em 1985; ESALQ 2003; DEPAVE 2004,https://fosseisurbanos.com.br/fosseis-urbanos-fernando-limberger | https://www.esalq.usp.br/acom/clipping_semanal/2012/3marco/25_a_02/files/assets/downloads/page0013.pdf,https://fosseisurbanos.com.br/fosseis-urbanos-fernando-limberger | https://www.esalq.usp.br/acom/clipping_semanal/2012/3marco/25_a_02/files/assets/downloads/page0013.pdf,https://fosseisurbanos.com.br/fosseis-urbanos-fernando-limberger | https://www.esalq.usp.br/acom/clipping_semanal/2012/3marco/25_a_02/files/assets/downloads/page0013.pdf,"Além da formação artística, a fonte registra formações complementares ligadas ao paisagismo.",alta
Niura Bellavinha,Belo Horizonte (MG); Nova York (EUA),Escola Guignard; Universidade Federal de Minas Gerais (UFMG); Parsons School of Design,1976-1977; 1982-1984,https://www.niurabellavinha.com.br/biografia | https://pt.wikipedia.org/wiki/Niura_Bellavinha,https://www.niurabellavinha.com.br/biografia | https://pt.wikipedia.org/wiki/Niura_Bellavinha,https://www.niurabellavinha.com.br/biografia | https://pt.wikipedia.org/wiki/Niura_Bellavinha,As fontes também registram oficinas e orientação de Amílcar de Castro.,alta
Giuseppe Morrocchi,,,,,,,biografia localizada; formação não localizada com segurança,
Renata Barros,"São Paulo, Brasil; Paris, França",Fundação Armando Álvares Penteado (FAAP); Atelier des Beaux Arts,1981; c. 1982–1984,https://enciclopedia.itaucultural.org.br/pessoas/5195-renata-barros ; https://mapa.pacodasartes.org.br/page.php?id=85905463-b0a1-481d-ae03-7671a882f149&name=artistas&op=detalhe,https://enciclopedia.itaucultural.org.br/pessoas/5195-renata-barros ; https://mapa.pacodasartes.org.br/page.php?id=85905463-b0a1-481d-ae03-7671a882f149&name=artistas&op=detalhe,https://enciclopedia.itaucultural.org.br/pessoas/5195-renata-barros ; https://mapa.pacodasartes.org.br/page.php?id=85905463-b0a1-481d-ae03-7671a882f149&name=artistas&op=detalhe,"também estuda com Vick Machado, Carlos Fajardo e outros em ateliê",alta
Sérgio Fingermann,"São Paulo, Brasil",Fundação Armando Álvares Penteado (FAAP),1970s,fontes biográficas de referência,fontes biográficas de referência,fontes biográficas de referência,datas aproximadas,media
James Kudo,São Paulo (SP); Nova York (EUA),Faculdade de Belas Artes de São Paulo; Art Students League,1990; 1992-1994,https://jojoscope.net/2011/08/27/as-topofilias-de-james-kudo/ | https://olharincomum.webnode.page/artistas/james-kudo/,https://jojoscope.net/2011/08/27/as-topofilias-de-james-kudo/ | https://olharincomum.webnode.page/artistas/james-kudo/,https://jojoscope.net/2011/08/27/as-topofilias-de-james-kudo/ | https://olharincomum.webnode.page/artistas/james-kudo/,,alta
Regina Silveira,"Porto Alegre, Brasil; São Paulo, Brasil",Instituto de Artes da UFRGS; Escola de Comunicações e Artes da USP,1959; 1980–1984,https://reginasilveira.c2midia.com.br/sobre-a-artista/,https://reginasilveira.c2midia.com.br/sobre-a-artista/,https://reginasilveira.c2midia.com.br/sobre-a-artista/,graduação na UFRGS; depois mestrado e doutorado na ECA/USP,alta
Laura Cesana,Brasil; Roma; Nova York; Lisboa; Boston,Temple University (Roma); Art Students League de New York; Universidade de Roma; Escola Superior de Educação pela Arte de Lisboa; Boston University,sem datas exatas na fonte,https://www.cps.pt/pt/artistas/laura-cesana | https://www.lauracesana.com/backgroundpt.html,https://www.cps.pt/pt/artistas/laura-cesana | https://www.lauracesana.com/backgroundpt.html | https://www.serigrafiaseafins.pt/post/arteemdestaque-laura-cesana,,"A fonte lista várias etapas formativas, mas sem cronologia detalhada de cada curso livre.",media
Sonia von Brüsky,Rio de Janeiro (RJ); Bruxelas; Munique,Museu de Arte Moderna do Rio de Janeiro (MAM-RJ); ateliê de Ivan Serpa; Escola de Artes Visuais do Parque Lage (EAV-Parque Lage),1967; 1974,https://enciclopedia.itaucultural.org.br/pessoas/177-sonia-von-brusky | https://acervo.macrs.rs.gov.br/artistas-macrs/sonia-von-brusky/,https://enciclopedia.itaucultural.org.br/pessoas/177-sonia-von-brusky | https://acervo.macrs.rs.gov.br/artistas-macrs/sonia-von-brusky/,https://enciclopedia.itaucultural.org.br/pessoas/177-sonia-von-brusky | https://acervo.macrs.rs.gov.br/artistas-macrs/sonia-von-brusky/,As fontes indicam formação inicial no Rio e aperfeiçoamento posterior na Europa.,alta
Crisaldo Morais,,,,,,,fontes indicam formação em economia e percurso autodidata na pintura; instituição não localizada,
Romero Britto,"Recife, Brasil",,,https://www.siennafineart.com/romero-britto-biography,,,biografias consultadas enfatizam trajetória autodidata; sem escola formal confirmada,media
Roberto Okinaka,"São Paulo, Brasil; Osaka, Japão",Fundação Armando Álvares Penteado (FAAP); estudos em Osaka,,https://www.smartgallery.com.br/categoria/arte-japonesa-no-brasil/roberto-okinaka/,https://www.smartgallery.com.br/categoria/arte-japonesa-no-brasil/roberto-okinaka/,,"fonte secundária recente; informa formação na FAAP e complementação de estudos em Osaka, sem datas",media
Lydia Okumura,"São Paulo, Brasil; Nova York, EUA",Fundação Armando Alvares Penteado; Pratt Graphic Art Center,,MAC_consolidado_normalized.csv / nationality_progress_update.csv,MAC_consolidado_normalized.csv / nationality_progress_update.csv,,dados recuperados de base auxiliar; datas não localizadas,alta
Ayao Okamoto,São Paulo (SP),Fundação Armando Alvares Penteado (FAAP); Escola de Comunicações e Artes da Universidade de São Paulo (ECA-USP),1980; 2003; 2009,https://www.escavador.com/sobre/355844/ayao-okamoto | https://www.ayaookamoto.art.br/sobre,https://www.escavador.com/sobre/355844/ayao-okamoto | https://www.ayaookamoto.art.br/sobre,https://www.escavador.com/sobre/355844/ayao-okamoto,"As fontes indicam graduação em Artes Plásticas, mestrado e doutorado.",alta
Herman Tacasey,São Paulo (SP),Fundação Armando Alvares Penteado (FAAP); Universidade Paulista (UNIP),1986; 2020,https://www.escavador.com/sobre/8418747/herman-tacasey,https://www.escavador.com/sobre/8418747/herman-tacasey,https://www.escavador.com/sobre/8418747/herman-tacasey,A fonte consultada explicita licenciatura em Artes Plásticas e mestrado em Comunicação.,alta
Takashi Fukushima,"Tóquio, Japão",Muso School of Fine Arts,1940,Enciclopédia Itaú Cultural / fontes biográficas de referência,Enciclopédia Itaú Cultural / fontes biográficas de referência,Enciclopédia Itaú Cultural / fontes biográficas de referência,,alta
Jean Rustin,Paris,École des Beaux-Arts; ateliê de Nicolas Untersteller,a partir de 1947,https://en.wikipedia.org/wiki/Jean_Rustin | https://www.jean-rustin.com/blank-2,https://en.wikipedia.org/wiki/Jean_Rustin | https://www.jean-rustin.com/blank-2,https://www.jean-rustin.com/blank-2 | https://en.wikipedia.org/wiki/Jean_Rustin,,alta
Francisco Cuoco,"São Paulo, Brasil; São Paulo, Brasil",Escola de Belas Artes de São Paulo; Museu de Arte de São Paulo (MASP),s.d.; 1951,https://blombo.com/artistas/francisco-cuoco/artistas/francisco-cuoco,https://blombo.com/artistas/francisco-cuoco/artistas/francisco-cuoco,https://blombo.com/artistas/francisco-cuoco/artistas/francisco-cuoco,"entrada usada para o artista plástico homônimo, não o ator",baixa
Charlote Gross,,,,,,,grafia possivelmente variante; não foi possível desambiguar com segurança,
Leonilson,"São Paulo, Brasil; São Paulo, Brasil",Fundação Armando Álvares Penteado (FAAP); Escola de Artes Aster,1977–1980; 1978–1981,https://museuvictormeirelles.museus.gov.br/um-ponto-e-outro/n-1-leonilson/n-1-leonilson-biografia/,https://museuvictormeirelles.museus.gov.br/um-ponto-e-outro/n-1-leonilson/n-1-leonilson-biografia/,https://museuvictormeirelles.museus.gov.br/um-ponto-e-outro/n-1-leonilson/n-1-leonilson-biografia/,"aulas com Nelson Leirner, Júlio Plaza e Regina Silveira na FAAP",alta
Maria Tereza Louro,São Paulo (SP),Fundação Armando Alvares Penteado (FAAP); Escola de Comunicações e Artes da Universidade de São Paulo (ECA-USP),1984; 1985; 1991; 2000,https://www.escavador.com/sobre/2433848/maria-tereza-figueiredo-das-neves-louro | https://arteref.com/artista-da-semana/conheca-a-arte-de-maria-tereza-louro/,https://www.escavador.com/sobre/2433848/maria-tereza-figueiredo-das-neves-louro | https://arteref.com/artista-da-semana/conheca-a-arte-de-maria-tereza-louro/,https://www.escavador.com/sobre/2433848/maria-tereza-figueiredo-das-neves-louro,"A fonte acadêmica recuperada lista graduação, especializações e mestrado.",alta
Shirley Paes Leme,"Berkeley, Califórnia, EUA","University of California, Berkeley",,MAC_consolidado_normalized.csv / nationality_refined_dataset.csv,MAC_consolidado_normalized.csv / nationality_refined_dataset.csv,,dados recuperados de base auxiliar; datas não localizadas,alta
Marco Giannotti,"São Paulo, Brasil; São Paulo, Brasil","Faculdade de Filosofia, Letras e Ciências Humanas da USP; curso de desenho e gravura em metal com Sérgio Fingermann",1988; a partir de 1980,https://www.escritoriodearte.com/artista/marco-giannotti,https://www.escritoriodearte.com/artista/marco-giannotti,https://bv.fapesp.br/pt/pesquisador/54773/marco-garaude-giannotti,formação combina filosofia na USP e estudo artístico com Sérgio Fingermann,alta
Júnior Suci,,Universidade Estadual Paulista Júlio de Mesquita Filho (UNESP); Instituto de Artes da Universidade Estadual de Campinas (UNICAMP),,,Memorial da América Latina; Casa Museu Ema Klabin,,instituições identificadas; datas dos estudos não localizadas com precisão,alta
Felipe Cama,São Paulo (SP),Escola de Comunicações e Artes da Universidade de São Paulo (ECA-USP); Fundação Armando Alvares Penteado (FAAP),,https://www.premiopipa.com/pag/felipe-cama/,https://www.premiopipa.com/pag/felipe-cama/,,"A fonte consultada informa as instituições, mas não traz cronologia detalhada.",media
Claudio Cretti,"São Paulo, Brasil; São Paulo, Brasil",Instituto de Arte e Decoração (Iade); Escola de Belas Artes,1981–1983; 1984,https://amgaleria.com.br/artista/claudio-cretti/ ; https://enciclopedia.itaucultural.org.br/pessoas/3685-claudio-cretti,https://amgaleria.com.br/artista/claudio-cretti/ ; https://enciclopedia.itaucultural.org.br/pessoas/3685-claudio-cretti,https://amgaleria.com.br/artista/claudio-cretti/ ; https://enciclopedia.itaucultural.org.br/pessoas/3685-claudio-cretti,abandona o curso de artes plásticas no mesmo ano de ingresso,alta
Gustavo Von Ha,Presidente Prudente; São Paulo,Universidade do Oeste Paulista; grupo de pesquisa de Leda Catunda na Faculdade Santa Marcelina; PIESP,1998-2002; 2005; 2010,https://pt.wikipedia.org/wiki/Gustavo_von_Ha | https://enciclopedia.itaucultural.org.br/pessoa365941/gustavo-von-ha,https://pt.wikipedia.org/wiki/Gustavo_von_Ha | https://enciclopedia.itaucultural.org.br/pessoa365941/gustavo-von-ha,https://pt.wikipedia.org/wiki/Gustavo_von_Ha | https://enciclopedia.itaucultural.org.br/pessoa365941/gustavo-von-ha,,alta
Teresa Viana,"Rio de Janeiro, Brasil",Escola de Artes Visuais do Parque Lage,,place_of_birth_tiered_dataset.csv,place_of_birth_tiered_dataset.csv,,dados recuperados de base auxiliar; datas não localizadas,alta
Sérgio Ferro,"São Paulo, Brasil",Faculdade de Arquitetura e Urbanismo da Universidade de São Paulo,1957–1962,fontes biográficas de referência,fontes biográficas de referência,fontes biográficas de referência,formação principal em arquitetura,alta
Alfredo Nicolaievsky,"Porto Alegre, Brasil; Porto Alegre, Brasil",Atelier Livre de Porto Alegre; Universidade Federal do Rio Grande do Sul,desde a adolescência; 1976,https://pt.wikipedia.org/wiki/Alfredo_Nicolaiewsky,https://pt.wikipedia.org/wiki/Alfredo_Nicolaiewsky,https://pt.wikipedia.org/wiki/Alfredo_Nicolaiewsky,formação artística no Atelier Livre e graduação em arquitetura na UFRGS,media
Hildebrando de Castro,Rio de Janeiro; Paris; Nova York,formação autodidata; estudos com tinta a óleo em Nova York,início artístico no fim dos anos 1970; dois anos em Paris; aperfeiçoamento em Nova York a partir de 1999,https://www.hildebrandodecastro.com.br/about-5 | https://www.zippergaleria.com.br/artistas/hildebrando-de-castro/sobre/ | https://paulodarzegaleria.com.br/artistas/hildebrando-de-castro/,https://www.hildebrandodecastro.com.br/about-5 | https://www.zippergaleria.com.br/artistas/hildebrando-de-castro/sobre/ | https://paulodarzegaleria.com.br/artistas/hildebrando-de-castro/,https://www.zippergaleria.com.br/artistas/hildebrando-de-castro/sobre/ | https://paulodarzegaleria.com.br/artistas/hildebrando-de-castro/,As fontes qualificam explicitamente o artista como autodidata; os estudos posteriores com óleo aparecem sem escola formal nomeada.,media
Manuel Alvarez,,,,,,,nome muito genérico; não foi possível desambiguar com segurança,
Tatiana Blass,"São Paulo, Brasil",Universidade Estadual Paulista (UNESP),1998–2001,https://pt.wikipedia.org/wiki/Tatiana_Blass,https://pt.wikipedia.org/wiki/Tatiana_Blass,https://pt.wikipedia.org/wiki/Tatiana_Blass,,alta
Ciro Cozzolino,São Paulo,Instituto de Artes e Decorações (Iadê),1975-1979,https://enciclopedia.itaucultural.org.br/pessoas/2217-ciro-cozzolino | https://www.catalogodasartes.com.br/artista/Ciro%20Cozzolino/,https://enciclopedia.itaucultural.org.br/pessoas/2217-ciro-cozzolino | https://www.catalogodasartes.com.br/artista/Ciro%20Cozzolino/,https://enciclopedia.itaucultural.org.br/pessoas/2217-ciro-cozzolino | https://www.catalogodasartes.com.br/artista/Ciro%20Cozzolino/,,alta
Deborah Paiva,São Paulo,Universidade de São Paulo (USP),,https://www.mac.usp.br/mac/conteudo/cursoseventos/mac_encontra/2013_1/deborahpaiva.asp | https://janainatorres.com.br/deborah-paiva-1950-2022-uma-antologia/,https://www.mac.usp.br/mac/conteudo/cursoseventos/mac_encontra/2013_1/deborahpaiva.asp,,A fonte recuperada informa que a artista era formada em História pela USP; não localizei datas de estudo em fonte aberta confiável.,alta
