Coluna 1,country of citizenship,educated at,ethnic group,place of birth,place of burial,place of death,sex or gender,fonte_educated_at,confianca_educated_at,observacoes_pesquisa,batch_origem,fonte_place_of_birth,confianca_place_of_birth
Frederik Salling Troels-Smith,Kingdom of Denmark,The Animation Workshop,,,,,male,Vimeo / The Animation Workshop — The Great Harlot and the Beast,médio,"Frederik Salling Troels-Smith aparece creditado em filme de graduação da The Animation Workshop, descrito como realizado por estudantes do 3º ano de Character Animation and CG Arts. | place of birth não preenchido por ausência de fonte explícita e suficientemente verificável.",nova_tentativa_08; lote_23; lote_32; place_of_birth_lote_10,,
Fredrik Lund-Hansen,Sweden,,,Sweden,,,male,,,"Localizei apenas referência agregada à Hyper Island, sem fonte direta ou institucional confirmando a formação; mantido em branco. | revisto no lote_32: sem confirmação robusta da instituição | place of birth localizado apenas no nível de país.",nova_tentativa_08; lote_23; lote_32; place_of_birth_lote_10,FILE Festival,médio
Frê Vidovix,Brazil,Faculdade de Artes do Paraná,,"Curitiba, Brazil",,,,https://archive.file.org.br/participantes/fre-vidovix/ | https://www.behance.net/frevidovix/moodboards,media,Biografia do FILE e perfil autoral convergem sobre licenciatura pela Faculdade de Artes do Paraná.,nova_tentativa_08; place_of_birth_lote_10,FilmFreeway,médio
Fábio Yamaji,Brazil,Universidade Federal do Paraná,,"São Paulo, Brazil",,,male,https://www.ppgpur.ufscar.br/pt-br/programa/corpo-docente/fabio-minoru-yamaji,alta,Página institucional da UFSCar informa doutorado em Engenharia Florestal pela UFPR. | Fonte consultada o descreve como “paulistano”; mantido com confiança média.,nova_tentativa_08; place_of_birth_lote_10,Mapa Cultural ES,médio
G3: Filipe Matos,Portugal,IADE Lisboa,,,,,male,https://g03.org/contact.html,media,Site autoral informa graduação em Graphic Design no IADE Lisboa. | place of birth não preenchido por ausência de fonte explícita e suficientemente verificável.,nova_tentativa_08; place_of_birth_lote_10,,
Gabriel Camelo,Brazil,London College of Fashion | Universidad de los Andes,,Rio de Janeiro,,,male,University of the Arts London; site oficial do artista,alto,Fonte oficial da UAL confirma MA Fashion Artefact; site do artista confirma formação anterior na Universidad de los Andes.,nova_tentativa_09,,
Gabriel Caniglia,United States,Northwestern University,,,,,male,site oficial do artista; FILE Festival,alto,"Site pessoal e biografia do FILE convergem para estudos em computer science, cognitive science e design na Northwestern University. | place of birth não preenchido por ausência de fonte explícita e suficientemente verificável.",nova_tentativa_09; place_of_birth_lote_10,,
Gabriel Menotti,,"Goldsmiths, University of London | Pontifícia Universidade Católica de São Paulo | Universidade Federal do Espírito Santo",,"Vitória, Espírito Santo, Brazil",,,male,Queen’s University; Videobrasil,alto,Preenchidos os dois doutorados explicitamente informados por Queen’s; acrescentei UFES com base em biografia institucional do Videobrasil. | place of birth localizado em bio resumida de difusão; sem segunda fonte institucional convergente localizada nesta rodada.,nova_tentativa_09; place_of_birth_lote_10,"YouTube / Spotify (1 curadorx, 1 hora)",médio
Gaëtan Borde,France,Supinfocom – RUBIKA,,,,,male,FILE Festival,médio,"Biografia de grupo do FILE informa que a equipe se formou com louvor na Supinfocom – RUBIKA, em Valenciennes. | place of birth não preenchido por ausência de fonte explícita e suficientemente verificável.",13; place_of_birth_lote_10,,
Ged Sia,Lithuania,Vilniaus dizaino ir technologijų kolegija | Vilnius Academy of Arts,,,,,male,Jaunojo dizainerio prizas; Vilnius Academy of Arts,alto,Fonte institucional indica graduação em design gráfico; outra fonte institucional indica vínculo de mestrado em Visual Communication Design na Vilnius Academy of Arts. | place of birth não preenchido por ausência de fonte explícita e suficientemente verificável.,nova_tentativa_09; place_of_birth_lote_10,,
Geert Nellen,Netherlands,Utrecht School of Arts,,,,,male,FILE Festival; Dutch Game Mentors,alto,"Biografias convergentes informam estudos em Game Design & Development na Utrecht School of Arts. place of birth não preenchido: fontes localizadas indicam atuação/residência na Holanda, sem local explícito de nascimento.",nova_tentativa_09; place_of_birth_lote_11,,
Gennadiy Chernega,Ukraine,autodidata,,Ukraine,,,male,FILE Festival,médio,Preenchido como autodidata por declaração biográfica explícita do FILE.,nova_tentativa_09; place_of_birth_lote_11,FILE Festival (biografia do artista),alto
Geoffrey Godet,France,Supinfocom,,,,,male,FILE Festival; Acme Filmworks,alto,"FILE e Acme Filmworks informam que Geoffrey Godet se formou na Supinfocom. place of birth não preenchido: biografia consultada indica apenas que é francês, sem local explícito de nascimento.",nova_tentativa_09; place_of_birth_lote_11,,
George Chkheidze,Georgia,National Theatre and Film School Tbilisi,,"Tbilisi, Georgia",,,male,site pessoal do artista; FILE Festival,médio,"Biografia pessoal confirma graduação na National Theatre and Film School Tbilisi; a formação musical aparece sem instituição plenamente identificada, por isso não foi incluída.",nova_tentativa_09; place_of_birth_lote_11,FILE Festival (biografia do artista),alto
Gerhard Human,South Africa,Pretoria Technikon,,"Bloemfontein, South Africa",,,male,Imago Mundi Collection; Dyman Gallery,médio,Fontes convergentes informam estudos em Graphic Design e Applied Arts no Pretoria Technikon.,nova_tentativa_09; place_of_birth_lote_11,Dyman Gallery / Latitudes,alto
Gervais Merryweather,,National Film and Television School,,,,,male,National Film and Television School; FILE Festival,alto,"NFTS confirma curso/graduação em Directing Animation; FILE o descreve como ex-aluno da escola. place of birth não preenchido: fontes consultadas indicam formação e residência em Londres, sem local explícito de nascimento.",nova_tentativa_09; place_of_birth_lote_11,,
Gestucks,Austria,TU Graz | University of Applied Arts Vienna,,,,,male,FILE Festival,alto,"Biografia do FILE nomeia TU Graz e University of Applied Arts Vienna. place of birth não preenchido: biografias identificam Stefan Krische e sua formação, mas não informam local explícito de nascimento.",nova_tentativa_09; place_of_birth_lote_11,,
Gian Cruz,Philippines,University of the Philippines Diliman | Kyung Hee University | De La Salle University-Manila,,"Manila, Philippines",,,,CV institucional em Visual AIDS,alto,"CV institucional lista mestrado em andamento na UP Diliman, programa especial na Kyung Hee University e bacharelado na De La Salle University-Manila.",nova_tentativa_09; place_of_birth_lote_11,FILE Festival (biografia do artista),alto
Giandomenico Paglia,Italy,,,"Teramo, Italy",,,male,,,Fontes consultadas não nomeiam instituição de ensino com segurança para este artista; mantido em branco. | revisto no lote_32: sem instituição explicitamente nomeada em fonte confiável localizada | Local de nascimento obtido em biografia secundária.,nova_tentativa_09; lote_23; lote_32; place_of_birth_lote_11,Teramo Rock (biografia),médio
Gisela Nunes,Portugal,"ESAP Guimarães | Escola das Artes, Universidade Católica Portuguesa | University of Minho",,,,,female,YICCA; site da artista,médio,"Fonte de perfil artístico nomeia graduação, pós-graduação e mestrado; o site da artista confirma a área geral de formação em design e multimedia studies. place of birth não preenchido: fontes consultadas indicam origem em Portugal, sem afirmar local de nascimento.",nova_tentativa_09; place_of_birth_lote_11,,
Giselle Beiguelman,Brazil,"Faculty of Philosophy, Languages and Literature, and Human Sciences",,São Paulo,,,female,,,,,,
Giuseppe Cavatti,Brazil,Universidade Federal do Espírito Santo,,Brasília,,,male,FILE Festival,médio,Biografia do FILE informa bacharelado em Composição Musical com ênfase em trilha musical pela UFES.,nova_tentativa_09,,
Giustino Di Gregorio,Italy,,,"Teramo, Italy",,,male,,,Fontes consultadas não nomeiam instituição de ensino com segurança para este artista; mantido em branco. | revisto no lote_32: sem instituição explicitamente nomeada em fonte confiável localizada | Local de nascimento obtido em biografia secundária.,nova_tentativa_09; lote_23; lote_32; place_of_birth_lote_11,MOT / Teramo Rock,médio
Glasz DeCuir,Spain,,,"Donostia/San Sebastián, Spain",,,female,,,"Fontes abertas identificam formação em Belas Artes, mas sem instituição nomeada com segurança; mantido em branco. | revisto no lote_32: sem instituição explicitamente nomeada | Local de nascimento identificado em biografia de festival/parceiro, sem fonte institucional mais direta localizada.",nova_tentativa_09; lote_23; lote_32; place_of_birth_lote_11,Meta-Morphosis Digital (biografia),médio
Glyph,India,,,,,,male,,,"Identidade desambiguada como Sharad Kalawar, mas a instituição de ensino apareceu apenas em fonte terciária, sem confirmação robusta; mantido em branco. | revisto no lote_32: sem confirmação robusta da instituição | place of birth não preenchido: não localizei fonte confiável suficiente para desambiguar o nome artístico.",nova_tentativa_09; lote_23; lote_32; place_of_birth_lote_11,,
Grace Mi,,University of Southern California,,,,,female,FILE Festival,médio,"Fonte explicita animação e arte digital na USC. place of birth não preenchido: fontes localizadas informam residência e formação, sem local explícito de nascimento.",11; place_of_birth_lote_11,,
Grant Petrey,United Kingdom,"Royal College of Art | Sir John Cass School of Art, Architecture & Design, London Metropolitan University | Institute of Education, University College London | Royal Central School of Speech & Drama, University of London | University of Wales, Trinity St David",,,,,male,site oficial do artista; Royal College of Art,alto,"Site oficial lista cinco instituições de formação; RCA também confirma o vínculo de pesquisa/doutorado. place of birth não preenchido: fontes localizadas descrevem atuação acadêmica/profissional, sem local explícito de nascimento.",nova_tentativa_09; place_of_birth_lote_11,,
Greg ‘Craola’ Simkins,United States,"California State University, Long Beach",,"Torrance, California, USA",,,male,site oficial do artista,alto,"Site oficial confirma bacharelado em Studio Art pela California State University, Long Beach.",nova_tentativa_09; place_of_birth_lote_11,site oficial do artista,alto
Guilherme Marcondes,Brazil,Universidade de São Paulo,,São Paulo,,,male,FILE Festival,médio,Biografia do FILE menciona bacharelado em Arquitetura e Urbanismo na USP.,,,
Guli Silberstein,Israel,Tel Aviv University | The New School University,,Israel,,,male,site oficial do artista | FILE Festival,alto,,place_of_birth_lote_11,FILE Festival (biografia do artista),alto
Hamza Kirbas,Turkey,"Batman University Faculty of Fine Arts | Silesia University Faculty of Fine Arts, Graphic Design Department | Hacettepe University Institute of Fine Arts",,"Batman, Turkey",,,male,site oficial do artista | FILE Festival,alto,"Fontes convergentes indicam graduação na Batman University, continuidade dos estudos na Silesia University e mestrado na Hacettepe University.",lote_23; place_of_birth_lote_11,FILE Festival (biografia do artista),alto
Hana Al Ali,United Arab Emirates,American University of Sharjah,,,,,female,American University of Sharjah | Behance,médio,"Página oficial da American University of Sharjah confirma Hana Al Ali como estudante de Graphic Design; perfil profissional associado ao trabalho artístico aponta a mesma instituição. place of birth não preenchido: fontes consultadas indicam nacionalidade/origem emiradense, sem local explícito de nascimento.",lote_23; place_of_birth_lote_11,,
Hannah Doran,Wales,Wrexham Glyndwr University School of Creative Arts,,,,,female,FILE Festival,alto,"A biografia do FILE explicita que a artista cursava o último ano de Fine Art na instituição. place of birth não preenchido: biografia consultada informa que cresceu no País de Gales, sem afirmar local de nascimento.",lote_23; place_of_birth_lote_11,,
Hannes Arvid Andersson,Netherlands,"SAE Institute Barcelona | Middlesex University | Frank Mohr Institute, Hanze University of Applied Sciences",,Sweden,,,male,Othernode | SoundCloud,baixo,"Fontes autobiográficas/portfólio convergem sobre graduação em Digital Film & Animation e mestrado no Frank Mohr Institute, mas não localizei confirmação institucional direta. Fonte localiza apenas o país de nascimento.",lote_23; place_of_birth_lote_11,perfil acadêmico / Academia.edu,médio
Hansi Raber,Austria,,,,,,male,,,"Fontes consultadas indicam formação em engenharia eletrônica e engenharia de áudio, sem nomear instituição; mantido em branco. | revisto no lote_32: sem instituição explicitamente nomeada | place of birth não preenchido: fontes consultadas indicam que cresceu na Áustria, sem local explícito de nascimento.",lote_24; lote_32; place_of_birth_lote_11,,
Harshini J. Karunaratne,Sri Lanka,New York University Abu Dhabi,,,,,non-binary,site oficial da artista | FILE Festival,alto,"O site oficial também menciona mestrado em New Media Design, mas sem instituição nomeada. place of birth não preenchido: fontes localizadas indicam origem Sri Lanka–Peru, mas sem fonte suficientemente robusta para o local de nascimento.",place_of_birth_lote_11,,
Heidi Hörsturz,Netherlands,ArtEZ University of the Arts,,,,,female,V2 / site oficial da artista,médio,"Biografias públicas convergentes informam estudos na ArtEZ University of the Arts, com especialização em Media Arts. place of birth não preenchido: fontes consultadas informam atuação e residência em Rotterdam, sem local explícito de nascimento.",lote_24; place_of_birth_lote_11,,
Heidy Cordero-Arias,United States,Pratt Institute,,,,,,Pratt Institute (Dean's List / Merit),alto,"Fonte institucional confirma vínculo acadêmico em 2016; não localizei grau ou período completo. place of birth não preenchido: fontes localizadas indicam residência/afiliação acadêmica, sem local explícito de nascimento.",place_of_birth_lote_11,,
Helmut Breineder,Austria,,,Austria,,,male,,,Fontes consultadas não nomeiam instituição de ensino com segurança para este artista; mantido em branco. | revisto no lote_32: sem instituição explicitamente nomeada em fonte confiável localizada,lote_24; lote_32; place_of_birth_lote_11,FILE Festival (biografia do artista),alto
Henning M. Lederer,Germany,FH Düsseldorf (University of Applied Sciences),,"Essen, Germany",,,male,FILE Festival,médio,A biografia informa estudo em Comunicação Visual e conclusão em 2005/06. Local de nascimento informado em biografia secundária do artista.,7; place_of_birth_lote_11,Domestika (biografia do artista),médio
Henrique Stabile,Brazil,Faculdade de Arquitetura e Urbanismo da Universidade de São Paulo | Universidade Estadual de Londrina,,São Paulo,,,male,FILE Festival | Escavador,médio,FILE confirma mestrado na FAU-USP; fonte secundária indica graduação em Arquitetura e Urbanismo na UEL.,,,
Hiba Ali,Pakistan,Queen's University,,"Karachi, Pakistan",,,female,FILE Festival,médio,"Biografia do FILE informa que era candidata a Ph.D em Estudos Culturais na Queen's University, Kingston, Canadá.",14; place_of_birth_lote_11,Women & Their Work / Capture Photography Festival,alto
Hiroya Sakura,Japan,University of Tsukuba | Musashino Art University,,"Yokohama, Japan",,,male,site oficial do artista | PROYECTOR,alto,,place_of_birth_lote_11,site oficial do artista / FILE Festival,alto
Holly Adams,United States,International Dell’Arte School,,,,,female,Ithaca College | Shearwater Productions,médio,"A fonte consultada também menciona mestrado em Theatre, Education, and Social Change, mas sem instituição nomeada. place of birth não preenchido: fontes consultadas indicam apenas país de origem e participação artística, sem local explícito de nascimento.",place_of_birth_lote_11,,
Hugo Ramirez,,ESAG Penninghen,,,,,male,Vimeo (biografia do diretor),médio,"Biografia profissional indica formação em design gráfico na ESAG Penninghen em Paris. | Biografia localizada, sem informação explícita sobre local de nascimento.",place_of_birth_lote_12,,
Hyunmin Lee,South Korea,Wesleyan University | California Institute of the Arts,,"Seoul, South Korea",,,,Pacific Arts Movement (Q&A biográfica),médio,Entrevista biográfica explicita degree em painting pela Wesleyan University e mestrado em animation no California Institute of the Arts.,lote_24; place_of_birth_lote_12,IMDb,médio
Ignacio Platas,Uruguay,,,"Montevideo, Uruguay",,,male,,,Fontes consultadas não nomeiam instituição de ensino com segurança para este artista; mantido em branco. | revisto no lote_32: sem instituição explicitamente nomeada em fonte confiável localizada,lote_24; lote_32; place_of_birth_lote_12,site pessoal Once11,médio
Igor Bahia,Brazil,Escola de Tecnologia Spectaculu | Escola de Artes Visuais do Parque Lage,,Rio de Janeiro,,,male,FILE Festival,médio,A menção a formação em Moda ficou fora porque a instituição não aparecia no trecho recuperado.,11,,
Igor Imhoff,Italy,Accademia di Belle Arti di Foggia,,Italy,,,male,animazioni.net — Igor Imhoff,alto,"Fonte biográfica informa explicitamente diploma pela Accademia di Belle Arti di Foggia em 2001. | Fonte localizada informa nascimento no país, sem cidade explicitada.",lote_24; lote_32; place_of_birth_lote_12,Ignorarte (biografia),médio
Igorъ V,Russia,,,"Rostov-on-Don, Russia",,,male,,,Fontes consultadas não nomeiam instituição de ensino com segurança para este artista; mantido em branco. | revisto no lote_32: sem instituição explicitamente nomeada em fonte confiável localizada | Nome artístico no FILE corresponde a Igor Vaganov.,lote_24; lote_32; place_of_birth_lote_12,FILE Festival (obra Death Day) + Wikidata,médio
Illestpreacha,Canada,,,,,,male,,,"Fontes consultadas não nomeiam instituição de ensino com segurança para este artista; mantido em branco. | revisto no lote_32: sem instituição explicitamente nomeada em fonte confiável localizada | Fontes localizadas indicam cidadania e atuação, mas não o local de nascimento.",lote_24; lote_32; place_of_birth_lote_12,,
Issey Takahashi,Japan,Horikoshi High School,,Tokyo,,,male,,,,,,
Ivan Dixon,United States,North Carolina Central University,,New York City,,Charlotte,male,,,,,,
Ivar Veermäe,Estonia,Estonian Academy of Arts | Weissensee Kunsthochschule Berlin,,Tallinn,,,male,site oficial do artista / weissensee kunsthochschule berlin,alto,Site oficial informa BA em fotografia e MA em Spatial Strategies; página institucional da Weissensee confirma vínculo de egresso.,lote_24,,
JF Malouin,Canada,École NAD-UQAC (Université du Québec à Chicoutimi),,,,,male,FILE Festival,médio,Biografia do FILE explicita conclusão de mestrado em artes digitais (NAD/UQAC). | Biografias localizadas não explicitam o local de nascimento.,lote_24; place_of_birth_lote_12,,
Jambonbill,France,,,,,,male,,,"Fontes consultadas não nomeiam instituição de ensino com segurança para este artista; mantido em branco. | revisto no lote_32: sem instituição explicitamente nomeada em fonte confiável localizada | Fonte localizada indica país de origem, não local de nascimento.",lote_24; lote_32; place_of_birth_lote_12,,
James Zanoni,,,,,,,male,,,Fontes consultadas não nomeiam instituição de ensino com segurança para este artista; mantido em branco. | revisto no lote_32: sem instituição explicitamente nomeada em fonte confiável localizada | place of birth não preenchido por ausência de fonte explícita e suficientemente verificável.,lote_24; lote_32; place_of_birth_lote_13,,
Jamie Tucker,Canada,,,,,,male,,,Fontes consultadas não nomeiam instituição de ensino com segurança para este artista; mantido em branco. | revisto no lote_32: sem instituição explicitamente nomeada em fonte confiável localizada | place of birth não preenchido por ausência de fonte explícita e suficientemente verificável.,lote_24; lote_32; place_of_birth_lote_13,,
Jan Rothuizen,Kingdom of the Netherlands,Gerrit Rietveld Academie | De Ateliers,,Amsterdam,,,male,site oficial do artista / Kunstinstituut Melly,alto,CV oficial e biografia institucional convergem para estudos na Gerrit Rietveld Academie e formação de pós-graduação em De Ateliers.,lote_24,,
Janice T. Searleman,United States,University of Massachusetts | State University of New York at Stony Brook,,,,,female,ISEA Symposium Archives,médio,Arquivo ISEA explicita B.S. em Mathematics e M.S. em Computer Science. | place of birth não preenchido por ausência de fonte explícita e suficientemente verificável.,lote_24; place_of_birth_lote_13,,
Janusz Brudniewicz,Poland,,,Poland,,,male,,,Fontes consultadas não nomeiam instituição de ensino com segurança para este artista; mantido em branco. | revisto no lote_32: sem instituição explicitamente nomeada em fonte confiável localizada | Fonte reputada explicita apenas o país de nascimento.,lote_24; lote_32; place_of_birth_lote_13,camembertelectrique.com,media
Jasmijn Lootens,Belgium,LUCA School of Arts | Conservatory of Amsterdam,,"Waregem, Belgium",,,female,docARTES,alto,Página docARTES explicita bacharelado e mestrado na LUCA e período de estudos no Conservatory of Amsterdam.,lote_24; place_of_birth_lote_13,Japan Media Arts Festival,alta
Jean-Michel Rolland,France,"University Paris 3, Sorbonne Nouvelle",,,,,male,CV do artista / CYLAND,médio,CV público informa mestrado em literatura e civilizações estrangeiras pela Paris 3. | place of birth não preenchido por ausência de fonte explícita e suficientemente verificável.,lote_24; place_of_birth_lote_13,,
Jen Biddle,,Rutgers University | Pennsylvania State University,,,,,female,University of Delaware,alto,Perfil institucional explicita B.S. em Biotechnology e Ph.D. em Biochemistry and Molecular Biology. | place of birth não preenchido por ausência de fonte explícita e suficientemente verificável.,lote_24; place_of_birth_lote_13,,
Jennifer Zheng,England,Kingston University,,"Northern Ireland, UK",,,female,site oficial da artista | It’s Nice That,alto,"Fontes indicam crescimento e origem na Irlanda do Norte, sem cidade explicitada.",place_of_birth_lote_13,Jennifer Zheng site oficial / FILE Festival,media
Jenny Vogel,Germany,Hunter College (CUNY),,Germany,,,female,UMass Amherst / CV,alto,Perfil institucional e CV convergem para BFA e MFA em Combined Media no Hunter College. | Fonte reputada explicita apenas o país de nascimento.,lote_24; place_of_birth_lote_13,The Sunview,media
Jenova Chen,People's Republic of China,University of Southern California,,Shanghai,,,male,,,,,,
,,Shanghai Jiao Tong University,,,,,,,,Nome ausente na planilha; não foi possível pesquisar o local de nascimento com segurança.,place_of_birth_lote_13,,
,,USC Interactive Media Division,,,,,,,,Nome ausente na planilha; não foi possível pesquisar o local de nascimento com segurança.,place_of_birth_lote_13,,
,,Donghua University,,,,,,,,Nome ausente na planilha; não foi possível pesquisar o local de nascimento com segurança.,place_of_birth_lote_13,,
Jérémy Oury,France,ENSATT,,,,,male,diplomatie.gouv.fr; Videomapping Resources,médio,Entrevista institucional confirma ENSATT; menção a estudos em acústica em Angoulême sem instituição nomeada não foi incluída. | place of birth não preenchido por ausência de fonte explícita e suficientemente verificável.,lote_25; place_of_birth_lote_13,,
Jeroen Cluckers,Belgium,KASK School of Arts Ghent,,"Hasselt, Belgium",,,male,AP University College,alto,Fonte institucional informa mestrado em Fine Arts (Media Art) em KASK Ghent.,place_of_birth_lote_13,AP Hogeschool,alta
Jerónimo Veroa,Argentina,,,Necochea,,,male,,,Fonte do FILE informa formação autodidata; sem instituição formal identificada. | revisto no lote_32: artista autodidata,lote_25; lote_32,,
Jiahui Eva Gao,People's Republic of China,Academy of Fine Art in Guangzhou,,,,,female,BoardGameGeek,baixo,Informação localizada em fonte secundária; não localizei confirmação institucional direta no site oficial. | place of birth não preenchido por ausência de fonte explícita e suficientemente verificável.,place_of_birth_lote_13,,
Jinan Zughayar,Palestine,American University of Sharjah,,Palestine,,,,FILE; Behance,médio,Projeto e perfil público indicam vínculo estudantil com a American University of Sharjah; grau não especificado.,lote_25,,
Jo-Ann Arosemena,Panama,Pratt Institute | GIA,,David,,,female,site oficial da artista,alto,,,,
Jody Deming,United States,Smith College,,Houston,,,female,,,,,,
Jody Ghani,United Kingdom,The Animation Workshop / VIA University College,,United Kingdom,,,female,site oficial da artista; SciVi,alto,Mantida apenas a formação explicitamente nomeada com instituição; menção a MScEE em Acoustics não foi associada de forma inequívoca a uma instituição do grau. | Fonte oficial explicita apenas o país de nascimento.,lote_25; place_of_birth_lote_13,site oficial do artista,alta
John Butler,,"Duncan of Jordanstone College of Art, Dundee",,"Dublin, Ireland",,,male,site oficial; FILE,alto,,lote_25; place_of_birth_lote_13,FILE Festival,alta
Jonas Brandão,Brazil,UFSCar,,,,,male,entrevista Split Filmes / 3DArtsBrasil,médio,Fonte secundária reputada informa graduação em Imagem e Som pela UFSCar. | place of birth não preenchido por ausência de fonte explícita e suficientemente verificável.,lote_25; place_of_birth_lote_13,,
Jonathan Berger,United States,Stanford University,,New York City,,,male,,,,,,
,,California Institute of the Arts,,,,,,,,Nome ausente na planilha; não foi possível pesquisar o local de nascimento com segurança.,place_of_birth_lote_13,,
Jone Vizcaino,Spain,,,,,,female,,,"Biografia do FILE informa graduação em Belas Artes, mas não nomeia a instituição; mantido em branco. | revisto no lote_32: sem instituição explicitamente nomeada | place of birth não preenchido por ausência de fonte explícita e suficientemente verificável.",lote_25; lote_32; place_of_birth_lote_13,,
Joost Jordens,Netherlands,Utrecht University of the Arts,,,,,male,Wonderspaces — Mike von Rotz & Joost Jordens,médio,Biografia de exposição identifica Joost Jordens como recém-formado no curso de 3D Animation da Utrecht University of the Arts. | place of birth não preenchido por ausência de fonte explícita e suficientemente verificável.,lote_25; lote_32; place_of_birth_lote_13,,
Jorge David Ortiz Trejo,Mexico,,,,,,male,,,Fontes consultadas não nomeiam instituição de ensino com segurança para este artista; mantido em branco. | revisto no lote_32: sem instituição explicitamente nomeada em fonte confiável localizada | place of birth não preenchido por ausência de fonte explícita e suficientemente verificável.,lote_25; lote_32; place_of_birth_lote_13,,
Jorge F.,Brazil,Universidade Anhembi Morumbi,,"São Paulo, Brazil",,,male,FILE,alto,Fonte de perfil do próprio artista informa cidade de nascimento.,lote_25; place_of_birth_lote_13,FilmFreeway,media
Jose Gallardo A,Colombia,Universidad Nacional de Colombia,,"Medellín, Colombia",,,male,Pueblo Nuevo Netlabel; Elektramusic,médio,Preenchido com base em fontes secundárias reputadas que informam mestrado em Estética; vínculo docente no FILE não foi usado como evidência de formação.,lote_25; place_of_birth_lote_13,CMMAS,media
Josh Mitchell,United States,Indiana University of Pennsylvania | Design Institute of San Diego | Edinboro University of Pennsylvania,,"Pittsburgh, Pennsylvania, USA",,,,StopWatch Gallery,médio,Biografia de galeria informa duas graduações e um MFA.,lote_25; place_of_birth_lote_13,StopWatch Gallery & Studio,alta
João Marcos Maciel,Brazil,Universidade de Cuiabá (UNIC),,"Belo Horizonte, Minas Gerais, Brazil",,,male,ArtStation (resume),médio,,lote_25; place_of_birth_lote_13,FILE Festival,alta
Joéser Alvarez,Brazil,"UNIR – Universidade Federal de Rondônia | UNINTES – Faculdade Interamericana de Porto Velho | SENAC, Polo Cuiabá",,"Rio de Janeiro, Rio de Janeiro, Brazil",,,male,PAVIC,médio,Fonte institucional lista bacharelado e duas especializações.,lote_25; place_of_birth_lote_13,FILE Festival,alta
Juan Pablo Machado,France,Émile Cohl School,,"Cali, Colombia",,,male,,,,place_of_birth_lote_13,FILE Festival,alta
Julien Hazebroucq,France,Supinfocom Arles (atual MOPA),,,,,male,Digital Production,médio,Instituição identificada em fonte secundária reputada; não localizei currículo oficial do artista. | place of birth não preenchido por ausência de fonte explícita e suficientemente verificável.,lote_25; place_of_birth_lote_13,,
Julien Regnard,Belgium,La Cambre Art School,,"Versailles, France",,,male,FILE,alto,,lote_25; place_of_birth_lote_13,Message to Man,media
Juliette Viger,France,The Animation Workshop,,,,,female,FILE; site oficial,alto,,lote_25,,
Julius Horsthuis,Netherlands,"Open Studio, Amsterdam",,,,,male,Playgrounds; Open Studio,baixo,Fontes biográficas convergem sobre curso anual de vídeo no Open Studio; não localizei graduação formal explicitada.,lote_25,,
Julián Angarita,Colombia,Universidad de los Andes,,,,,male,FILE; CV pessoal,alto,"Formação em Design/Comunicação e Arte de Mídia, Mídia Eletrônica e Arte Contemporânea informada nas fontes.",lote_25,,
Juuke Schoorl,Netherlands,"Royal Academy of Art, The Hague (KABK)",,,,,female,KABK alumni; FILE,médio,Nome da instituição normalizado com base em lista oficial de alumni da KABK; o FILE usa forma divergente do nome.,lote_25,,
Kang Hyeun,South Korea,,,,,,,,,Fontes consultadas não nomeiam instituição de ensino com segurança para este artista; mantido em branco. | revisto no lote_32: sem instituição explicitamente nomeada em fonte confiável localizada,lote_26; lote_32,,
Kara Gut,United States,Cranbrook Academy of Art,,,,,female,FILE Festival; United States Artists,média,,lote_26,,
Karina Smigla-Bobinski,Poland,Academy of Fine Arts in Kraków | Academy of Fine Arts in Munich,,Szczecin,,,female,FILE Festival,médio,A fonte menciona pintura e comunicação visual nas academias de Cracóvia e Munique.,7,,
,,"Academy of Fine Arts, Munich",,,,,,,,,,,
Karl Baumann,United States,University of Southern California (USC),,Leipzig,,San Francisco,male,FILE Festival,média,,lote_26,,
Karl Munstedt,United States,Pratt Institute,,,,,male,site oficial do artista | Currents New Media,alto,,5,,
Karni,Israel,Bezalel Academy of Art and Design,,,,,female,FILE Festival — biografia de Karni,médio,"A biografia do FILE explicita estudos de fotografia e arte na Bezalel Academy of Art and Design, em Jerusalém.",lote_26; lote_32,,
Karsten Hoof,Kingdom of Denmark,The Animation Workshop,,,,,male,Ox and Bird — Our team,alto,"Fonte profissional do artista informa graduação em Character Animation na The Animation Workshop, Dinamarca, em 2014.",lote_26; lote_32,,
Kassiani Kappelos,Greece,University of the Arts London,,,,,female,FILE Festival,médio,,5,,
Katherina Tsirakis,Brazil,Pontifícia Universidade Católica de São Paulo (PUC-SP); Fundação Armando Alvares Penteado (FAAP); Limón Foundation,,,,,female,site oficial da artista,média,"Fonte autoral menciona graduação em Psicologia, pós-graduação em roteiro e formação em técnica Limón.",lote_26,,
Kelley Bell,United States,"University of Maryland, Baltimore County | Pratt Institute",,,,,female,FILE Festival,médio,Biografia explicita MFA em Imaging and Digital Arts e BFA em Graphic Design.,12,,
Kevin Lesur,France,,,,,,male,,,Fontes consultadas não nomeiam instituição de ensino com segurança para este artista; mantido em branco. | revisto no lote_32: sem instituição explicitamente nomeada em fonte confiável localizada,lote_26; lote_32,,
